,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
6052,IMPERIAL SEAL (T223) (Retired),IRE,,Bay , Gelding,PPG,2280880,4,1,0,21,Dylan Thomas,Princess Ellen,Tirol
6053,TRIUMPHANT LIGHT (T224) (Retired),NZ,,Bay , Gelding,PP,2098550,1,5,5,47,Alamosa,Bexley,Honor Grades
6054,JOY LUCK WIN (T225) (Retired),NZ,,Chestnut , Gelding,PP,559400,0,2,0,10,Deputy Governor,Academie Francaise,Royal Academy
6055,BRAVE KNIGHT (T226) (Retired),NZ,,Bay , Gelding,PP,194775,0,0,1,14,Elusive City,Bellamina,O'Reilly
6056,GLORIOUS LAD (T227) (Retired),NZ,,Bay , Gelding,PP,247500,0,0,1,5,Falkirk,Luscious Lass,Al Akbar
6057,PACKING SPECIAL (T228) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,1,High Chaparral,Queen Caelia,Sir Tristram
6058,PROFIT KEEPER (T229) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,1,Keeper,Kirin Belle,McGinty
6059,PACKING DRAGON (T230) (Retired),NZ,,Grey , Gelding,PPG,10380550,8,3,6,45,Mastercraftsman,Golden Gamble,Oregon
6060,RACINGFORPLEASURE (T231) (Retired),FR,,Bay , Gelding,PPG,0,0,0,0,14,Dutch Art,Bye Bold Aileen,Warning
6061,SUPER FORM (T232) (Retired),GB,,Bay , Gelding,PP,3718920,3,4,5,32,Azamour,Visanilla,Danehill
6062,SOCCER BRAVE (T233) (Retired),IRE,,Bay , Gelding,PP,1259550,3,0,1,35,Windsor Knot,Toy Show,Danehill
6063,SPICY SURE (T234) (Deregistered),AUS,,Bay , Gelding,PP,5726850,4,5,5,39,Casino Prince,Sovereign Miss,Made Of Gold
6064,NOT LISTENIN'TOME (T235) (Retired),AUS,,Bay , Gelding,PP,16507000,5,3,6,39,Dylan Thomas,Flame Of Sydney,Encosta de Lago
6065,ENORMOUS HONOUR (T236) (Retired),AUS,,Bay , Gelding,PP,4929250,3,8,5,65,Encosta de Lago,Myrrh,Nassipour
6066,RAINBOW GOLD (T237) (Retired),NZ,,Chestnut , Gelding,PP,709200,1,0,2,22,Falkirk,Pink Samurai,Volksraad
6067,LOOKS LIKE THE CAT (T238) (Retired),AUS,,Chestnut , Gelding,PP,516350,0,1,1,19,Husson,Fiery Dee,Fraar
6068,TEN SPEED (T239) (Retired),AUS,,Bay , Gelding,PP,184800,0,1,0,14,Jet Spur,Ten Eighty,Volksraad
6069,ALL IS WELL (T240) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,14,Seasoned Star,Bloody Mary,Shinko King
6070,HECARIM (T241) (Deregistered),AUS,,Chestnut , Gelding,PPG,0,0,0,0,3,Choisir,Polite,Elusive Quality
6071,SOLAR HEI HEI (T242) (Retired),AUS,,Bay , Gelding,PPG,8897400,7,6,1,33,Churchill Downs,Miss Tabitha,Tabkir
