,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
671,VINCY (B213),IRE,6,Bay , Gelding,PP,1791800,0,4,1,18,Elzaam,Instant Memories,Ad Valorem
672,MY CHANCE (B214) (Retired),IRE,,Brown , Gelding,PP,445050,0,0,2,11,Holy Roman Emperor,Many Hearts,Distorted Humor
673,PACIFIC MASTER (B215) (Retired),IRE,,Bay , Gelding,PPG,57400,0,0,0,5,Dandy Man,Nutshell,Dubai Destination
674,BALTIC WHISPER (B216),AUS,6,Bay , Gelding,PP,3077400,3,0,1,26,Charge Forward,Le Sillage,Encosta de Lago
675,HARMONY HERO (B217),AUS,5,Brown , Gelding,PP,3593650,2,2,3,21,Elvstroem,Cloanthy,Statue Of Liberty
676,SKY MELODY (B218) (Retired),AUS,,Bay , Gelding,PP,1199250,1,1,0,11,High Chaparral,Dontwaltzme,Afleet Alex
677,FAMOUS WARRIOR (B219) (Retired),AUS,,Chestnut , Gelding,PP,1642750,0,3,4,17,Husson,Danehill Smile,Danehill Dancer
678,BIG FORTUNE (B220),AUS,5,Chestnut , Gelding,PP,2765135,2,1,7,27,Moshe,Divine Lady,Skalato
679,B221 (B221) (Deregistered),NZ,,Bay , Colt,PP,0,0,0,0,0,Pentire,Utopia,High Chaparral
680,JOY MASTER (B222),AUS,5,Bay , Gelding,PP,1067995,1,1,3,28,Rogano,Irish Hut,Quest For Fame
681,RACING LUCK (B223),AUS,6,Bay , Gelding,PP,3569350,2,4,2,26,Street Cry,Flying Success,Flying Spur
682,MISSION TYCOON (B224),AUS,5,Brown , Gelding,PP,11505500,2,3,2,22,Written Tycoon,Lakemba Gold,Made Of Gold
683,GOLDEN FOUR (B225),AUS,5,Bay , Gelding,PPG,2759080,2,5,2,27,Denman,Gingerbread,Kempinsky
684,FLYING POWER (B226) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Fastnet Rock,Crimson Dawn,Fasliyev
685,HAPPY FORCE (B227) (Retired),AUS,,Brown , Gelding,PPG,2546250,3,0,3,19,Pierro,Hosiery,Night Shift
686,FOREVER SMART (B228) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,2,Roman Emperor,Nordice,Danehill Dancer
687,EURO SMART (B229) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Smart Missile,Belmont Cat,Felix The Cat
688,TEAM SPIRIT (B230),AUS,5,Chestnut , Gelding,PPG,4381450,4,5,1,23,Strategic,Forget Ima Lady,Lion Hunter
689,KEEP GOING (B231),AUS,5,Brown , Gelding,PPG,151675,0,0,0,25,Testa Rossa,Mosoru,Black Minnaloushe
690,TRUE GRIT (B232),AUS,5,Bay , Gelding,PPG,3620200,5,0,2,9,Wanted,Sedoso,Viscount
691,SURE SUPREME (B233) (Retired),AUS,,Bay , Gelding,PPG,41400,0,0,0,17,Your Song,Hidden Spirit,Casino Prince
692,KA YING LEGEND (B234),ARG,5,Bay , Gelding,PP,2036000,1,3,1,16,Hurricane Cat,Tancreda,Roman Ruler
693,SPIRIT (B235) (Retired),BRZ,,Bay , Gelding,PP,0,0,0,0,12,Soldier Of Fortune,Dica,Ghadeer
694,GLORIOUS FOREVER (B236),GB,6,Chestnut , Gelding,PP,23619600,4,2,0,15,Archipenko,Here To Eternity,Stormy Atlantic
695,SUPER GIANT (B237) (Retired),IRE,,Bay , Gelding,PP,357650,0,0,2,7,Fast Company,Nightswimmer,Noverre
696,FARSHAD (B238),GER,6,Grey , Gelding,PP,1778740,1,2,2,20,Kendargent,Forever Midnight,Night Shift
697,CALLING THE SHOTS (B239) (Retired),USA,,Dark Bay , Gelding,PP,384500,0,1,1,21,Exchange Rate,Pick And Choose,Street Cry
698,I AM POWER (B240) (Retired),IRE,,Bay , Gelding,PP,1845750,2,0,1,6,Power,Bridge Note,Stravinsky
699,CHEERS TREASURE (B241) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,1,Rip Van Winkle,Disco Lights,Spectrum
700,ROCKAGE (B242),IRE,5,Chestnut , Gelding,PPG,141900,0,0,0,23,Society Rock,Box Of Frogs,One Cool Cat
701,TELECOM BROTHERS (B243) (Retired),AUS,,Chestnut , Gelding,PP,3144100,3,1,1,13,Choisir,Fairchild,General Nediym
702,TAKING AIM (B244),AUS,5,Chestnut , Gelding,PP,2679900,2,1,3,23,Choisir,Girl Hussler,Hussonet
703,POSITIVELY HIGH (B245) (Retired),AUS,,Bay , Gelding,PP,63000,0,0,0,16,High Chaparral,Positively Perfect,Storm Cat
704,MASSIVE POCKET (B246),AUS,6,Bay , Gelding,PP,3626050,3,2,2,17,Stratum,Sprung,Grand Slam
705,DOMINATOR (B247) (Retired),AUS,,Bay , Gelding,PPG,105800,0,0,1,8,Commands,Cover Charge,General Nediym
706,ELITE DREAM (B248) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,1,Red Arrow,Rechichi,Elvstroem
707,AEROHAPPINESS (B249) (Retired),NZ,,Bay , Gelding,PPG,4343800,4,3,3,18,Zacinto,In The Mood,Hawk Wing
708,QUADRUPLE DOUBLE (B250),AUS,4,Bay , Gelding,PPG,4462775,4,5,3,18,Zoustar,Jessica Rose,Keep The Faith
709,LASTING FRIENDSHIP (B251),AUS,6,Bay , Gelding,PP,1445935,2,1,0,20,Commands,Loch Maryanne,General Nediym
710,WAKEY (B252) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,5,Excelebration,Cousin Katerina,Stravinsky
711,WALDORF (B253),NZ,5,Black , Gelding,PP,6716250,5,4,3,28,Highly Recommended,Skite,Pins
712,PRECIOUS SWEETIE (B254),AUS,5,Bay , Gelding,PPG,1939405,2,2,2,20,Fastnet Rock,Everswindell,Align
713,COURT RULER (B255) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,9,Hussonet,Sphynx,Tale Of The Cat
714,LOOKING GOOD (B256) (Deregistered),NZ,,Bay , Gelding,PPG,3718100,3,4,5,23,Postponed,Are You Devious,Captain Rio
715,SUPERICH (B257),NZ,5,Chestnut , Gelding,PPG,3981500,3,3,3,19,Red Giant,Daly Charm,Best Western
716,EMERALD SPUR (B258),NZ,5,Bay , Gelding,PPG,1675600,2,1,0,14,Super Easy,Emerald Isle,Perfectly Ready
717,LIGHTNING TREASURE (B259) (Retired),NZ,,Brown , Gelding,PPG,1268200,1,2,3,14,Swiss Ace,Authentic Desire,Howbaddouwantit
718,VIGOR FAME (B260) (Deregistered),GER,,Brown ,,PP,2832650,2,3,0,21,Lord Of England,Shokogirl,Sholokhov
719,MY ALLY (B261) (Retired),FR,,Bay , Gelding,PP,3335450,2,2,4,26,Siyouni,Etoile Nocturne,Medicean
720,PATRIOTISM (B262) (Deregistered),IRE,,Grey , Gelding,PP,0,0,0,0,4,Dark Angel,Cut No Ice,Verglas
721,DEMONS ROCK (B263),IRE,5,Bay , Gelding,PP,1068370,1,3,0,25,Requinto,Afnoon,Street Cry
722,COOL TEAM (B264),IRE,6,Bay , Gelding,PP,1282350,1,0,1,12,Tamayuz,Coolminx,One Cool Cat
723,MR WEALTH (B265),GB,6,Bay , Gelding,PP,2370950,2,2,1,18,Tamayuz,Empire Rose,Sunray Spirit
724,WONDERFUL WORLD (B266) (Retired),GB,,Bay , Gelding,PPG,0,0,0,0,0,Medicean,Red Halo,Galileo
725,MY POWER (B267),IRE,5,Bay , Gelding,PP,138000,0,0,1,14,Most Improved,Sparkling Rock,Rock Of Gibraltar
726,WARM THE VOICE (B268) (Retired),IRE,,Bay , Gelding,PP,1320650,1,1,1,12,Vocalised,Heir Today,Princely Heir
727,DREAM COME TRUE (B269) (Retired),AUS,,Chestnut , Gelding,PP,1553600,1,2,0,12,All Too Hard,Kakakakatie,Zeditave
728,SUPER HERO (B270) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,6,High Chaparral,Heavenly Dreamer,Fusaichi Pegasus
729,MONICA (B271),AUS,6,Grey , Gelding,PP,4010700,4,4,1,25,Murtajill,Senorita de Lago,Encosta de Lago
730,HAPPY TIME (B272),AUS,6,Brown , Gelding,PP,1851945,1,2,4,22,Smart Missile,Dearness,Snippets
731,SUMMER PASSAGE (B273) (Retired),AUS,,Bay , Colt,PP,0,0,0,0,5,Snitzel,Subsequent,Encosta de Lago
732,LIGHTNING STEED (B274),AUS,5,Bay , Gelding,PPG,2068245,2,1,4,26,California Dane,Deal Or No Deal,Encosta de Lago
733,WINNING CIRCLE (B275) (Retired),AUS,,Bay , Gelding,PPG,347900,0,1,1,24,Duporth,True Grace,Lion Heart
734,FORTUNE ANTHEM (B276) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Magnus,Stella Maree,Magic Ring
735,RUN MOOCHI (B277),AUS,5,Bay , Gelding,PPG,387875,0,2,0,15,Myboycharlie,Blue Fairy Wren,Delago Brom
736,OSCAR MAGIC (B278) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,4,Niagara,Santorini,Kashani
737,BUNDLE OF ENERGY (B279),NZ,5,Brown , Gelding,PPG,774933,0,0,4,21,Reliable Man,Betty Brown,Keeper
738,STYLING CITY (B280),AUS,4,Chestnut , Gelding,PPG,6273450,5,1,3,19,Starspangledbanner,Secret Liaison,Artie Schiller
739,BINGO VIN STAR (B281) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,0,West Quest,Silver Wire,Double Income
740,CIVILISED (B282) (Retired),NZ,,Chestnut , Gelding,PP,0,0,0,0,0,Civics,Donna Majella,Royal Academy
741,SUMSTREETSUMWHERE (B283),NZ,5,Bay , Gelding,PP,1535115,1,0,3,29,Highly Recommended,Street Siren,Street Cry
742,GREAT PROFIT (B284) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,6,Jimmy Choux,Musigny,Reset
743,RACING FIGHTER (B285),NZ,5,Grey , Gelding,PP,4652500,3,3,1,25,Mastercraftsman,Comme Tu Veux,Howbaddouwantit
744,HAPPY HOUR (B286),NZ,5,Chestnut , Gelding,PP,715645,1,0,2,24,Mastercraftsman,Jolly Genie,Generous
745,HEZTHEWONFORUS (B287),NZ,5,Bay , Gelding,PP,5440900,2,5,0,19,Sufficient,Party Queen,Gold Brose
746,VICTORIOUS LEADER (B288),NZ,5,Bay , Gelding,PPG,654920,1,1,0,17,Alamosa,Awesome,High Chaparral
747,BELLAGIO (B289),NZ,5,Bay , Gelding,PPG,1286950,2,0,1,12,Echoes Of Heaven,Idea,Danewin
748,BLITZING (B290) (Retired),NZ,,Bay , Gelding,PPG,3335000,3,3,3,15,Jimmy Choux,Fast Fame,Fast 'N' Famous
749,PRINCIPAL DATUM (B291) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Medaglia d'Oro,Remotely,Manton
750,YOUNG GLORY (B292),NZ,5,Bay , Gelding,PPG,1042900,1,2,2,28,Niagara,Divine Miss Em,Traditionally
751,HIGHLAND DANCER (B293) (Retired),NZ,,Chestnut , Gelding,PPG,0,0,0,0,1,Ocean Park,Jesmonds Gift,Magic Of Sydney
752,VICTORY POWER (B294),NZ,5,Bay , Gelding,PPG,3483718,1,9,4,28,Power,Sugar Moon,Zabeel
753,JOY AND POWER (B295) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,2,Snitzel,Ubiquity,Hurricane Sky
754,BLACK TECH (B296) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,7,Sufficient,So Take That,Align
755,SHINING BRIGHT (B297) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,12,Zacinto,Muffin Coup,Elusive City
756,SUNNY MAJOR (B298) (Retired),JPN,,Bay , Gelding,PPG,0,0,0,0,17,Daiwa Major,Caldine,Roman Ruler
757,RULETHEROOST (B299),GER,5,Bay , Gelding,PPG,1783025,2,1,3,17,Redoute's Choice,Navajo Queen,Monsun
758,AFTER ME (B300),IRE,5,Bay , Gelding,PP,1882990,3,1,0,23,Equiano,Blue Dune,Invincible Spirit
759,MAHLER MOJO (B301) (Retired),SAF,,Bay , Gelding,PPG,0,0,0,0,2,Judpot,Requista,Fort Wood
760,IRISH VEGA (B302) (Retired),AUS,,Chestnut , Gelding,PP,0,0,0,0,19,Lope de Vega,Count Your Fingers,General Nediym
761,PATCH BABY (B303) (Retired),AUS,,Bay , Gelding,PP,1344250,1,1,2,10,More Than Ready,Rock Of Fortune,Fastnet Rock
762,SEBFIRE (B304) (Retired),AUS,,Bay , Gelding,PP,45850,0,0,0,3,Sebring,Firemaid,Machiavellian
763,EPTIMUM (B305) (Retired),AUS,,Bay , Gelding,PP,172200,0,0,0,19,Snitzel,Paramount,Monashee Mountain
764,ATTENTION (B306) (Retired),AUS,,Chestnut , Gelding,PP,233450,0,0,1,6,Stratum,Flamboyance,Snowland
765,SOLAR PATCH (B307) (Retired),AUS,,Chestnut , Gelding,PP,2982200,2,3,1,8,Stratum,Fleeting Touch,Touch Gold
766,MUSIC ADDITION (B308) (Retired),AUS,,Bay , Gelding,PP,1945050,2,1,0,6,Your Song,Quality Coup,Elusive Quality
767,LONE EAGLE (B309) (Retired),AUS,,Bay , Gelding,PP,1369450,1,0,3,11,Zoffany,Green Mirage,Green Desert
768,FREE VIEW (B310) (Retired),AUS,,Bay , Gelding,PPG,32200,0,0,0,3,Al Samer,Proud As Punch,Tycoon Ruler
769,PICKEN (B311),AUS,5,Brown , Gelding,PPG,4413900,4,3,4,27,Duporth,Baby Boom,Redoute's Choice
770,THANKS FOREVER (B312),AUS,4,Bay , Gelding,PPG,10989600,4,3,4,15,Duporth,Cinecitta,Exceed And Excel
771,WHISKY KNIGHT (B313) (Retired),AUS,,Black , Gelding,PPG,97750,0,0,0,10,Medaglia d'Oro,Magic Nera,Lonhro
772,SAVVY SEVEN (B314) (Retired),AUS,,Chestnut , Gelding,PPG,1479415,1,3,4,24,Sebring,Sensibility,Redoute's Choice
773,B315 (B315) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Sepoy,Sense Of Pride,Lemon Drop Kid
774,HAPPY FUN (B316),NZ,6,Bay , Gelding,PP,3740200,2,4,1,14,Darci Brahma,Mystery Creek,Kaapstad
775,MONGOLIAN LEGEND (B317),AUS,6,Brown , Gelding,PP,2179900,2,1,0,28,Fastnet Rock,Purde,Bahhare
776,HO HO KHAN (B318),NZ,5,Bay , Horse,PP,7499825,4,0,1,17,Makfi,China Choice,Encosta de Lago
777,MONSTER KAKA (B319),NZ,5,Bay , Gelding,PP,582455,0,0,3,14,Makfi,Pineau,Carnegie
778,PACKING MIRACLE (B320) (Retired),NZ,,Grey , Gelding,PP,0,0,0,0,2,Mastercraftsman,Fiorenza,Stravinsky
779,SKY FORTUNE (B321) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,1,Niagara,Rose Chapel,College Chapel
780,SMART ROCKET (B322) (Retired),AUS,,Brown , Gelding,PPG,2008705,3,0,5,20,Smart Missile,Cyclone Stacey,Encosta de Lago
781,NAMJONG NAMJONG (B323) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,4,Snitzel,Red Princess,Red Ransom
782,PEGASUS ELITE (B324) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,4,Starcraft,Zeparty,Zeditave
783,STRAPPING BAUHINIA (B325),NZ,4,Bay , Gelding,PPG,0,0,0,0,7,Tavistock,Indian Song,Indian Danehill
784,CHEERFUL STAR (B326),FR,6,Bay , Gelding,PP,1214165,1,0,2,26,Excelebration,Lausanne,Lawman
785,MARYKNOLL VICTORY (B327) (Retired),FR,,Brown , Gelding,PP,0,0,0,0,1,Penny's Picnic,Mysterious Lina,Linamix
786,FLYING THUNDER (B328) (Deregistered),GB,,Bay , Gelding,PP,5094200,2,2,1,13,Archipenko,Desert Berry,Green Desert
787,WINNING FLAG (B329) (Deregistered),IRE,,Chestnut , Gelding,PP,0,0,0,0,0,Beat Hollow,Birthday Present,Cadeaux Genereux
788,SOLOMON'S BAY (B330) (Retired),IRE,,Chestnut , Gelding,PP,1187800,1,0,1,17,Exceed And Excel,Gentle On My Mind,Sadler's Wells
789,KEEP WINNING (B331),IRE,6,Bay , Gelding,PP,1172550,2,2,0,25,Henrythenavigator,Silver Star,Zafonic
790,WINNING WAYS (B332),IRE,6,Bay , Gelding,PP,1644490,1,2,3,25,Lope de Vega,Sahara Sky,Danehill
791,FORZA ANGEL (B333),GB,6,Chestnut , Gelding,PP,1127150,1,0,1,22,Mayson,Noble One,Primo Dominie
792,CHARITYDREAM (B334),GB,5,Bay , Gelding,PPG,25375,0,0,0,12,Oasis Dream,Morzine,Miswaki
793,MCMUNIGAL (B335),IRE,5,Bay , Gelding,PP,1029075,2,0,1,19,Epaulette,Picture Of Lily,Medicean
794,XIANG BAI QI (B336),IRE,6,Bay , Gelding,PP,2357900,1,2,4,26,Azamour,Hassaya,King's Best
795,CRUISING (B337),AUS,5,Bay , Gelding,PP,1252400,1,1,1,6,Danerich,Appointment,Keltrice
796,MONTREAL (B338) (Retired),AUS,,Bay , Gelding,PP,825300,1,0,0,7,Lonhro,Cirque Du Soleil,Danehill
797,VILLA FIONN (B339),AUS,5,Bay , Gelding,PP,1756635,2,0,3,22,Sebring,Aeronwy,Dylan Thomas
798,SHINING HERO (B340) (Retired),NZ,,Brown , Gelding,PPG,0,0,0,0,0,Bullbars,Snadame,Snaadee
799,DATING (B341) (Retired),AUS,,Bay , Gelding,PPG,57575,0,0,0,11,Danerich,Perlight,Lago Delight
800,EXPRESS STAR (B342) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,5,Dreamscape,Monet's Diva,Naturalism
801,GENTLE BREEZE (B343),AUS,5,Bay , Gelding,PPG,4454500,5,1,3,22,Foxwedge,Marjorie,Langfuhr
802,ROMANTIC BONANZA (B344) (Retired),NZ,,Bay , Gelding,PPG,1086100,2,0,1,7,Savabeel,Glam Slam,Pins
803,ABOVE (B345),NZ,4,Bay , Gelding,PPG,2730540,4,1,3,20,Tavistock,Once More,Thorn Park
804,TOUCHDOWN STRIKER (B346) (Retired),AUS,,Chestnut , Gelding,PPG,28700,0,0,0,6,Turffontein,Acid Test,Testa Rossa
805,SWEET LEADER (B347) (Retired),NZ,,Brown , Horse,PP,0,0,0,0,2,O'Reilly,Sweet Lady,Encosta de Lago
806,REGENCY LEGEND (B348),NZ,4,Bay , Gelding,PP,6105600,4,0,0,7,Pins,Sparkling,O'Reilly
807,PRANCE DRAGON (B349),NZ,5,Bay , Gelding,PP,1794000,2,1,1,18,Power,Wanaka,Green Perfume
808,TIANCHI MONSTER (B350),NZ,5,Brown , Gelding,PP,3885300,3,2,1,23,Shocking,Princess Biscotte,Casino Prince
809,STIMULATION (B351),JPN,6,Bay , Gelding,PP,1847700,1,2,0,22,Deep Impact,Baahama,Anabaa
810,SIMPLY BIG (B352),GB,5,Brown , Gelding,PP,2104500,2,2,0,16,Bated Breath,Oasis Jade,Oasis Dream
811,ENFOLDING (B353),IRE,6,Bay , Gelding,PP,3079515,2,5,3,26,Fastnet Rock,Althea Rose,Green Desert
812,ENTANGLING (B354) (Retired),IRE,,Brown , Gelding,PP,0,0,0,0,0,Fastnet Rock,Question Times,Shamardal
813,RED WARRIOR (B355) (Retired),IRE,,Bay , Gelding,PP,6159250,4,2,1,16,Holy Roman Emperor,Sweet Dreams Baby,Montjeu
814,WINNING TOGETHER (B356),IRE,5,Bay , Gelding,PPG,751440,1,0,1,13,Lord Shanakill,Brunch Bellini,Peintre Celebre
815,YEE CHEONG LUCKY (B357),GB,5,Bay , Gelding,ISG,96600,0,0,0,16,Acclamation,Melbourne Memories,Sleeping Indian
816,CHARITY GRAND (B358),AUS,5,Bay , Gelding,ISG,956665,1,1,1,10,Exceed And Excel,Music Review,Singspiel
817,BEST SMILE (B359),IRE,5,Bay , Gelding,ISG,415140,0,2,0,7,Kodiac,City Dancer,Elusive City
818,CIRCUIT THREE (B360),NZ,5,Bay , Gelding,ISG,3387530,4,2,2,13,Savabeel,Forty Two Below,O'Reilly
819,FLYING STAR (B361) (Retired),IRE,,Grey , Gelding,ISG,0,0,0,0,0,Dark Angel,White Daffodil,Footstepsinthesand
820,EPTIWINS (B362),AUS,5,Brown , Gelding,ISG,739085,0,3,1,13,Poet's Voice,Salix Caprea,Catbird
821,CALIFORNIA LEGEND (B363),IRE,5,Bay , Gelding,ISG,1659950,2,1,2,21,Camelot,Kiss Me Goodbye,Raven's Pass
822,JOYFUL CONTENDER (B364) (Deregistered),AUS,,Bay , Gelding,ISG,289800,0,1,0,12,I Am Invincible,Zadiym,General Nediym
823,BELLA BABY (B365),IRE,5,Bay , Gelding,ISG,346780,0,0,2,13,Havana Gold,Chanter,Lomitas
824,NABOO STAR (B366),AUS,5,Bay , Gelding,ISG,2424930,2,3,2,14,Casino Prince,Private,Encosta de Lago
825,LET'S COME BACK (B367) (Retired),IRE,,Bay , Gelding,ISG,124775,0,0,1,15,Acclamation,Se La Vie,Highest Honor
826,ROMANTIC CHEF (B368) (Retired),NZ,,Brown , Gelding,ISG,897000,1,1,1,6,Savabeel,Ocean Of Tears,Minardi
827,SIMPLY FABULOUS (B369) (Retired),FR,,Brown , Gelding,ISG,0,0,0,0,0,Lawman,Sworn Sold,Soldier Hollow
828,PAKISTAN FRIEND (B370),AUS,5,Chestnut , Gelding,ISG,3012900,3,1,2,12,Not A Single Doubt,Heaven Beneath,More Than Ready
829,NORDIC WARRIOR (B371),IRE,5,Chestnut , Gelding,ISG,2995600,2,3,1,20,Dutch Art,Girl Power,Key Of Luck
830,DIAMOND BRILLIANT (B372),AUS,5,Bay , Gelding,ISG,2299350,1,3,5,14,Not A Single Doubt,Aringarosa,Snippets
831,CIRCUIT NUMBER ONE (B373),GB,5,Grey , Gelding,ISG,270760,0,1,0,8,Holy Roman Emperor,Ysoldina,Kendor
832,HAPPY TOUR (B374) (Deregistered),AUS,,Bay , Gelding,ISG,1403400,2,0,1,8,Snitzel,Good Weekend,Hussonet
833,SUPER MODEL (B375) (Retired),GB,,Bay , Gelding,ISG,716300,1,1,0,13,Harbour Watch,Maid For Winning,Gone West
834,TOUCH OF LUCK (B376),AUS,5,Chestnut , Gelding,ISG,1929840,2,1,5,18,Hard Spun,Seamstress,Rory's Jester
835,GUY DRAGON (B377),GB,5,Grey , Gelding,ISG,3327700,2,4,1,17,Dark Angel,Trip To The Moon,Fasliyev
836,MONKEY JEWELLERY (B378),NZ,5,Bay , Gelding,ISG,2132650,2,2,3,17,Exceed And Excel,Panama,Traditionally
837,GALLANT SPIRIT (B379) (Retired),USA,,Dark Bay , Gelding,ISG,0,0,0,0,8,Street Cry,Anne Of Kiev,Oasis Dream
838,SUPER STAR (B380),AUS,5,Bay , Gelding,ISG,4718600,5,0,4,12,Snitzel,Highland Daughter,Kyllachy
839,PRAWN YEAH YEAH (B381),NZ,5,Bay , Gelding,ISG,1038524,2,0,0,17,Commands,Alamantra,Elusive Quality
840,REAL GIANT (B382) (Retired),AUS,,Bay , Gelding,ISG,0,0,0,0,7,Bel Esprit,Sable,Danasinga
841,BEAUTY LOYAL (B383),AUS,5,Bay , Gelding,PP,3156450,2,3,5,28,Darci Brahma,Singapore Sling,Starcraft
842,GOOD BEAUTY (B384),AUS,5,Black , Gelding,PP,3857750,3,1,4,28,Hard Spun,Lush Liaison,Grand Lodge
843,KASI FARASI (B385),AUS,5,Bay , Gelding,PP,1880250,2,0,1,16,Reward For Effort,Disturbingthepeace,High Chaparral
844,TENNESSEE BOSS (B386) (Retired),AUS,,Bay , Gelding,PP,110400,0,0,0,14,So You Think,Tennessee Love,General Nediym
845,CIRCUIT NUMBER TWO (B387) (Retired),AUS,,Bay , Gelding,PP,1757550,2,0,1,9,Teofilo,Fain,Quest For Fame
846,HOLDERS WIN (B388) (Retired),AUS,,Bay , Filly,PPG,0,0,0,0,0,Ad Valorem,Great Boon,Aspiration
847,SUN FOXHUNTER (B389),AUS,5,Chestnut , Gelding,PPG,0,0,0,0,10,All Too Hard,Amarazetti,Commands
848,GREAT HARVEST (B390),AUS,4,Brown , Gelding,PPG,141745,0,0,0,10,Harbour Watch,Grojsman,Al Maher
849,LAKESHORE EAGLE (B391),AUS,5,Brown , Gelding,PPG,4345700,5,1,1,11,Master Of Design,Rose Syrah,Testa Rossa
850,FIVE FORTUNE (B392) (Retired),AUS,,Bay , Colt,PPG,0,0,0,0,0,Myboycharlie,Carnegie Minstrel,Carnegie
851,PERFECT MATCH (B393),AUS,4,Bay , Gelding,PPG,7919300,6,1,2,13,Not A Single Doubt,Modave,Montjeu
852,GENERAL TRUMP (B394),AUS,4,Brown , Gelding,PPG,1301705,2,1,2,16,Rothesay,Cheree's General,General Nediym
853,VIRTUS STAR (B395),AUS,4,Bay , Gelding,PPG,393900,0,1,2,17,Sebring,Princess Natural,Danehill Dancer
854,COUNTRY STAR (B396),AUS,4,Bay , Gelding,PPG,7006400,5,2,1,16,Starcraft,Moonrush,Encosta de Lago
855,JOYFUL FAMILY (B397) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,11,Excelebration,On The Loose,Strategic
856,SMART PATCH (B398),AUS,5,Bay , Gelding,PP,2047090,2,2,2,19,Hinchinbrook,Al's Magic Miss,Magic Albert
857,VALIANT PATCH (B399) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,0,I Am Invincible,Quirina,Red Ransom
858,AEROSONG (B400) (Retired),NZ,,Brown , Gelding,PP,0,0,0,0,0,O'Reilly,Zygadene,Zabeel
859,AMAZING LUCK (B401),AUS,5,Brown , Gelding,PP,1149595,1,0,3,18,Sepoy,Mabsam,Stratum
860,SNAP FIT (B402),NZ,5,Bay , Gelding,PPG,2614800,3,1,2,7,Nadeem,Gold Circle,Kilimanjaro
861,LE TERROIR (B403),AUS,4,Chestnut , Gelding,PPG,3397400,4,2,0,23,Star Witness,Chichi Romero,O'Reilly
862,CINQUANTE CINQ (B404),NZ,5,Bay , Gelding,PPG,3103850,2,5,1,11,Tavistock,Jugadora,Jugah
863,HARMONY VICTORY (B405),BRZ,5,Bay , Gelding,PP,8457000,3,4,1,17,Public Purse,Flower Fest,Crimson Tide
864,ZHAN JIANG ROCKS (B406),IRE,5,Brown , Gelding,PP,1657935,1,2,2,21,Big Bad Bob,Rupa,Acclamation
865,PING HAI TREASURE (B407),IRE,5,Bay , Gelding,PP,2555450,2,2,1,13,Oasis Dream,Astronomy Domine,Galileo
866,PERFECT BUDDY (B408) (Retired),AUS,,Bay , Gelding,PP,266800,0,1,0,11,Commands,Irish Dream,Falbrav
867,BEAUTY SPIRIT (B409),AUS,5,Bay , Gelding,PP,3299250,2,2,2,26,Duporth,Graces Spirit,Flying Spur
868,HELLO BEAUTY (B410),AUS,4,Bay , Gelding,PP,1086400,0,2,1,15,Sepoy,Fullazz,Redoute's Choice
869,PERFECT GLORY (B411),AUS,5,Bay , Gelding,PP,2339350,2,1,1,19,Snitzel,Crevice,Gulch
870,MR SO AND SO (B412),AUS,5,Bay , Gelding,PP,3628300,2,1,2,20,So You Think,Danesty,Danehill
871,GREEN LUCK (B413),AUS,5,Brown , Gelding,PP,4446450,3,3,1,23,Street Cry,Damah Lady,Mukaddamah
872,WAR ROOM (B414),AUS,5,Brown , Gelding,PP,1207400,0,3,1,12,War Chant,Impressing Matters,Viscount
873,ANYTHING GOES (B415) (Retired),AUS,,Bay ,,PPG,0,0,0,0,0,Bernardini,Cinnie,Keeper
874,VALIANT DREAM (B416),AUS,4,Bay , Gelding,PPG,3218640,3,3,2,14,Magnus,Captivating Lady,Elvstroem
875,PLANET NICCONI (B417) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,5,Nicconi,Dazzling Rose,General Nediym
876,BLINK OF A SECOND (B418),AUS,5,Brown , Gelding,PPG,0,0,0,0,7,Real Saga,Spring Collection,Fusaichi Pegasus
